cylinder,seek_distance,deadline,priority,size,type,importance_score
17,83,368,2,389,1,0.528364
154,137,441,2,865,0,0.571498
130,24,288,2,887,1,0.466581
87,43,209,2,773,0,0.599749
86,1,7,2,787,0,0.595402
171,85,308,1,515,1,0.422609
17,154,454,2,237,1,0.607895
139,122,74,0,617,1,0.537754
40,99,125,2,1016,1,0.762657
18,22,265,2,753,1,0.468571
105,87,269,1,252,0,0.460367
195,90,214,1,302,0,0.497766
147,48,78,1,985,1,0.556316
152,5,244,2,135,0,0.420899
143,9,254,0,213,1,0.185481
157,14,96,2,180,1,0.515828
102,55,305,2,643,0,0.537079
25,77,433,0,397,0,0.240957
167,142,48,0,806,0,0.646669
90,77,44,1,25,1,0.573938
100,10,285,2,728,0,0.469079
74,26,391,1,879,1,0.344945
36,38,55,0,732,1,0.434576
185,149,472,2,685,0,0.594828
156,29,241,1,932,1,0.408076
128,28,57,1,380,1,0.469869
80,48,226,1,320,1,0.417319
164,84,219,0,362,1,0.350449
109,55,198,2,289,1,0.557088
88,21,294,1,438,1,0.327086
90,2,127,2,32,1,0.462225
45,45,495,0,509,0,0.12725
18,27,146,0,651,0,0.356112
110,92,433,0,389,1,0.186039
177,67,410,1,473,1,0.322062
12,165,210,2,1007,1,0.793508
171,159,100,2,399,0,0.793784
165,6,484,2,39,0,0.266543
55,110,288,1,40,1,0.445096
126,71,168,0,702,0,0.389366
33,93,79,1,777,1,0.604152
151,118,173,1,607,0,0.591873
140,11,327,0,450,1,0.17385
70,70,255,0,399,0,0.286961
13,57,37,2,66,0,0.647015
194,181,390,2,31,0,0.61307
89,105,164,0,570,1,0.46604
178,89,100,2,751,0,0.725335
135,43,351,2,329,1,0.494157
155,20,372,0,35,1,0.11405
151,4,411,1,844,1,0.273009
38,113,6,0,736,0,0.555728
72,34,196,0,234,0,0.298179
93,21,134,2,673,1,0.582267
99,6,292,2,537,1,0.476403
8,91,487,2,292,0,0.418604
109,101,64,1,661,1,0.628729
30,79,329,2,188,1,0.480994
148,118,224,2,834,0,0.715207
136,12,233,0,555,1,0.222307
184,48,471,1,805,1,0.295134
148,36,367,1,315,0,0.277411
73,75,51,0,371,0,0.437826
193,120,220,0,818,0,0.512575
82,111,372,2,809,1,0.591177
65,17,57,2,241,1,0.573689
181,116,255,2,112,0,0.625797
74,107,251,1,970,1,0.532368
15,59,41,1,482,0,0.524818
93,78,477,2,100,0,0.415305
159,66,188,0,563,1,0.36142
37,122,139,1,254,1,0.585035
92,55,49,2,546,1,0.650286
25,67,31,0,502,0,0.454635
137,112,102,0,670,1,0.519132
95,42,371,1,480,1,0.281471
66,29,137,2,168,0,0.537579
45,21,229,2,908,0,0.528963
112,67,332,0,790,0,0.29427
133,21,170,2,24,0,0.496776
188,55,206,1,960,1,0.473106
87,101,246,1,814,0,0.529832
32,55,452,0,712,1,0.166226
166,134,465,0,157,1,0.245522
125,41,148,1,545,1,0.491756
140,15,128,0,232,0,0.273903
19,121,205,1,701,0,0.549787
62,43,104,0,74,0,0.349147
153,91,286,0,788,1,0.307659
166,13,269,0,675,1,0.228348
87,79,235,2,922,0,0.601965
160,73,234,1,425,1,0.436521
168,8,430,2,264,1,0.322554
77,91,79,2,266,0,0.729446
179,102,384,0,764,0,0.323741
57,122,292,0,859,1,0.386922
47,10,397,1,734,1,0.276221
136,89,289,2,968,1,0.621175
127,9,386,1,84,1,0.215471
27,100,304,1,542,0,0.472675
166,139,357,2,1001,1,0.665059
39,127,209,1,821,0,0.579956
160,121,447,2,75,1,0.49635
1,159,148,1,83,0,0.632175
159,158,360,1,538,1,0.541966
157,2,167,2,706,0,0.549413
156,1,396,1,806,0,0.282529
132,24,418,2,472,0,0.380281
94,38,96,0,857,1,0.397859
141,47,314,2,755,0,0.5031
55,86,266,0,593,1,0.374723
156,101,202,1,135,0,0.494236
111,45,143,1,213,1,0.426591
91,20,308,2,943,0,0.515471
101,10,412,1,979,1,0.314592
113,12,178,1,902,1,0.407176
7,106,170,0,222,1,0.43362
27,20,432,0,390,1,0.096554
49,22,378,1,822,1,0.29715
22,27,365,0,122,0,0.13188
87,65,298,1,341,1,0.369754
133,46,54,2,332,0,0.635293
130,3,79,0,879,0,0.325331
94,36,32,2,816,0,0.676551
171,77,160,1,357,1,0.510447
113,58,21,2,81,0,0.685129
15,98,238,1,901,1,0.523654
152,137,18,2,497,0,0.863548
114,38,497,0,336,1,0.096254
126,12,250,2,69,0,0.419888
113,13,11,1,732,1,0.545404
110,3,94,2,819,0,0.590915
18,92,97,1,846,0,0.64523
111,93,338,1,51,1,0.390454
